Report generated on: 11-17-2024 10:07:11
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","crude oil including lease condensate production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-1-HRV-TBPD.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","31.83606557377049","34.487671232876714","31.75692328767123","31","29.89147267759563","30.17418082191781","27.788271232876713","25.757813698630137","22.289338797814207","21.312923287671232","20.175334246575343","19.092539726027397","18.063355191256832","16.164383561643834","15.665753424657535","15.753424657534246","13.666666666666666","15.580821917808219","14.583561643835617","13.490410958904109","11.833333333333334","11.997260273972604","11.498630136986302","12.419178082191781","13.581967213114755","13.88093698630137"
"INTL.57-1-CUB-TBPD.A","        Cuba","","","","","14","15","17","16","13","13","12","9","16","20","23","26","26","26","30","38","51.131","54.796","66.04","68.074","59.612","51","51","51","52.246","48.235","53","53","52","51","51","49","46","44"
"INTL.57-1-CYP-TBPD.A","        Cyprus","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-CZE-TBPD.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","","2.5726109589041095","2.95366301369863","3.0466147540983606","3.2769424657534247","3.597394520547945","3.6740356164383563","3.5080081967213115","3.676690410958904","5.323287671232877","6.3671780821917805","6.133724043715847","6.290394520547945","5.326005479452054","4.939846575342465","4.915300546448087","4.252054794520548","3.591780821917808","3.084931506849315","3","3","3","2.835616438356164","2.3333333333333335","2.169849315068493"
"INTL.57-1-DNK-TBPD.A","        Denmark","","","","","46","59.09041095890411","74.31506849315069","92.56712328767124","96.0792349726776","110.74794520547945","121.66301369863014","142.3945205479452","156.80327868852459","167.53698630136986","184.94898630136987","186.00308219178083","207.81645355191256","230.32918082191782","237.85933698630137","299.88277260273975","363.0328715846995","347.99659452054794","370.7806410958904","374.3164712328767","414.64547267759565","388.12886849315066","348.6444547945205","317.2447397260274","286.5128879781421","259.98068493150686","245.3594301369863","221.14634520547946","202.2461830601093","175.40116712328768","165.24971232876712","156.31657534246574","140.63661202185793","137.0939548192548"
"INTL.57-1-DJI-TBPD.A","        Djibouti","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-DMA-TBPD.A","        Dominica","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-DOM-TBPD.A","        Dominican Republic","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-ECU-TBPD.A","        Ecuador","204.15300546448088","211.16438356164383","210.86301369863014","237.12328767123287","257.92349726775956","281.24383561643833","293.2739726027397","174.0958904109589","302.1530054644809","278.7972602739726","285.041095890411","299.06575342465754","318.53005464480873","337.65479452054797","376.2246575342466","381","379.8360655737705","388.1135506849315","375.1418684931507","372.74869863013697","401.1540683060109","429.7901205479452","391.89101369863016","420.6574602739726","526.0098825136612","531.8930191780822","535.9945917808219","504.0864712328767","504.72770218579234","485.620197260274","486.0868767123288","499.5130219178082","503.5920792349727","526.1124082191781","556.3580575342465","543.0948410958904","547.9262295081967","531.3232876712328"
"INTL.57-1-EGY-TBPD.A","        Egypt","594.6092896174863","598.4246575342465","669.986301369863","727.3369863013698","822.0573770491803","887.2465753424658","813.1506849315068","896.2383561643836","847.9781420765028","864.8383561643835","872.6575342465753","874.2246575342466","881.0655737704918","904.5616438356165","909","910","875","852","835","816","689.2113524590164","670.3217205479452","666.9362767123288","685.5203178082191","717.3340327868852","617.5959753424657","613.2465726027398","628.4588630136986","633.3989071038251","648.7123287671233","636.331506849315","637.4438356164384","641.6229508196722","644.9205479452055","645.1123287671232","682.3561643835617","651.3825136612022","626.8630136986301"
"INTL.57-1-SLV-TBPD.A","        El Salvador","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-GNQ-TBPD.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0","","","","","11.6775956284153","50.778082191780825","72.52054794520548","93.32602739726028","108.60382513661202","179.64383561643837","214.24657534246575","240.54794520547946","326.29234972677597","360.4972712328767","347.49950410958905","335.25600821917806","336.83443715846994","321.9787287671233","297.7807397260274","278.3880328767123","289.4","269.7972602739726","260","250","227","184.32876712328766"
"INTL.57-1-ERI-TBPD.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-EST-TBPD.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-1-SWZ-TBPD.A","        Eswatini","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
